Name,Symbol,Side,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
SPY260414P00691000,SPY260414P00691000,Buy,Filled,3,3,0.2500000000,0.2500000000,DAY,04/14/2026 14:28:16 EDT,04/14/2026 14:28:16 EDT
SPY260414P00693000,SPY260414P00693000,Sell,Cancelled,0,1,@1.47,,DAY,04/14/2026 14:20:24 EDT,
SPY260414P00693000,SPY260414P00693000,Sell,Filled,1,1,@1.0000000000,1.0000000000,DAY,04/14/2026 14:20:24 EDT,04/14/2026 14:25:49 EDT
SPY260414P00693000,SPY260414P00693000,Sell,Filled,1,1,0.6900000000,0.6900000000,DAY,04/14/2026 14:20:16 EDT,04/14/2026 14:20:16 EDT
SPY260414P00693000,SPY260414P00693000,Sell,Filled,1,1,0.6500000000,0.6500000000,DAY,04/14/2026 14:20:03 EDT,04/14/2026 14:20:03 EDT
SPY260414P00693000,SPY260414P00693000,Sell,Filled,1,1,0.7300000000,0.7300000000,DAY,04/14/2026 14:19:36 EDT,04/14/2026 14:19:36 EDT
SPY260414P00693000,SPY260414P00693000,Sell,Filled,1,1,0.8600000000,0.8600000000,DAY,04/14/2026 14:19:32 EDT,04/14/2026 14:19:33 EDT
SPY260414P00693000,SPY260414P00693000,Buy,Filled,5,5,0.4800000000,0.4800000000,DAY,04/14/2026 14:16:03 EDT,04/14/2026 14:16:04 EDT
SPY260414C00695000,SPY260414C00695000,Sell,Filled,8,8,0.1600000000,0.1600000000,DAY,04/14/2026 14:15:00 EDT,04/14/2026 14:15:00 EDT
SPY260414C00695000,SPY260414C00695000,Buy,Filled,8,8,0.2400000000,0.2400000000,DAY,04/14/2026 14:00:59 EDT,04/14/2026 14:00:59 EDT
QQQ260414C00628000,QQQ260414C00628000,Sell,Filled,5,5,0.3500000000,0.3500000000,DAY,04/14/2026 12:53:06 EDT,04/14/2026 12:53:06 EDT
QQQ260414C00628000,QQQ260414C00628000,Sell,Filled,2,2,0.3700000000,0.3700000000,DAY,04/14/2026 12:52:27 EDT,04/14/2026 12:52:27 EDT
QQQ260414C00628000,QQQ260414C00628000,Sell,Filled,1,1,0.4000000000,0.4000000000,DAY,04/14/2026 12:49:48 EDT,04/14/2026 12:49:48 EDT
QQQ260414C00628000,QQQ260414C00628000,Buy,Filled,3,3,0.3700000000,0.3700000000,DAY,04/14/2026 12:45:13 EDT,04/14/2026 12:45:13 EDT
QQQ260414C00628000,QQQ260414C00628000,Buy,Filled,5,5,0.3600000000,0.3600000000,DAY,04/14/2026 12:37:59 EDT,04/14/2026 12:37:59 EDT
QQQ260414P00622000,QQQ260414P00622000,Sell,Filled,1,1,@0.5300000000,0.5300000000,DAY,04/14/2026 11:10:17 EDT,04/14/2026 11:13:43 EDT
QQQ260414P00622000,QQQ260414P00622000,Sell,Cancelled,0,1,@1.00,,DAY,04/14/2026 11:10:17 EDT,
QQQ260414P00622000,QQQ260414P00622000,Sell,Filled,1,1,0.6400000000,0.6400000000,DAY,04/14/2026 11:10:09 EDT,04/14/2026 11:10:09 EDT
QQQ260414P00622000,QQQ260414P00622000,Sell,Filled,1,1,0.6800000000,0.6800000000,DAY,04/14/2026 11:06:31 EDT,04/14/2026 11:06:31 EDT
QQQ260414P00622000,QQQ260414P00622000,Sell,Filled,1,1,0.6200000000,0.6200000000,DAY,04/14/2026 11:05:46 EDT,04/14/2026 11:05:47 EDT
QQQ260414P00622000,QQQ260414P00622000,Sell,Filled,1,1,0.6500000000,0.6500000000,DAY,04/14/2026 11:05:16 EDT,04/14/2026 11:05:16 EDT
QQQ260414P00622000,QQQ260414P00622000,Buy,Filled,5,5,0.5300000000,0.5300000000,DAY,04/14/2026 11:00:44 EDT,04/14/2026 11:00:44 EDT
QQQ260414C00625000,QQQ260414C00625000,Sell,Cancelled,0,1,@0.820,,DAY,04/14/2026 10:55:37 EDT,
QQQ260414C00625000,QQQ260414C00625000,Sell,Filled,1,1,@0.4500000000,0.4500000000,DAY,04/14/2026 10:55:37 EDT,04/14/2026 11:00:10 EDT
QQQ260414C00625000,QQQ260414C00625000,Sell,Filled,1,1,0.5600000000,0.5600000000,DAY,04/14/2026 10:55:32 EDT,04/14/2026 10:55:32 EDT
QQQ260414C00625000,QQQ260414C00625000,Sell,Filled,1,1,0.5600000000,0.5600000000,DAY,04/14/2026 10:54:50 EDT,04/14/2026 10:54:50 EDT
QQQ260414C00625000,QQQ260414C00625000,Sell,Filled,1,1,0.5500000000,0.5500000000,DAY,04/14/2026 10:53:28 EDT,04/14/2026 10:53:28 EDT
QQQ260414C00625000,QQQ260414C00625000,Sell,Filled,1,1,0.5400000000,0.5400000000,DAY,04/14/2026 10:52:56 EDT,04/14/2026 10:52:56 EDT
QQQ260414C00625000,QQQ260414C00625000,Buy,Filled,5,5,0.4500000000,0.4500000000,DAY,04/14/2026 10:39:00 EDT,04/14/2026 10:39:00 EDT
QQQ260410C00612000,QQQ260410C00612000,Sell,Filled,2,2,0.1400000000,0.1400000000,DAY,04/10/2026 15:31:18 EDT,04/10/2026 15:31:18 EDT
QQQ260410C00612000,QQQ260410C00612000,Sell,Cancelled,0,2,0.100,,DAY,04/10/2026 15:17:22 EDT,
QQQ260410C00612000,QQQ260410C00612000,Sell,Cancelled,0,2,@2.00,,DAY,04/10/2026 15:17:22 EDT,
QQQ260410C00612000,QQQ260410C00612000,Buy,Filled,2,2,0.2300000000,0.2300000000,DAY,04/10/2026 15:16:52 EDT,04/10/2026 15:16:52 EDT
QQQ260410C00612000,QQQ260410C00612000,Sell,Cancelled,0,5,@0.600,,DAY,04/10/2026 15:15:08 EDT,
QQQ260410C00612000,QQQ260410C00612000,Sell,Filled,5,5,@0.2000000000,0.2000000000,DAY,04/10/2026 15:15:08 EDT,04/10/2026 15:15:15 EDT
QQQ260410C00612000,QQQ260410C00612000,Sell,Filled,3,3,0.2600000000,0.2600000000,DAY,04/10/2026 15:15:01 EDT,04/10/2026 15:15:01 EDT
QQQ260410C00612000,QQQ260410C00612000,Sell,Filled,1,1,0.2600000000,0.2600000000,DAY,04/10/2026 15:14:43 EDT,04/10/2026 15:14:43 EDT
QQQ260410C00612000,QQQ260410C00612000,Sell,Filled,1,1,0.2500000000,0.2500000000,DAY,04/10/2026 15:14:34 EDT,04/10/2026 15:14:34 EDT
QQQ260410C00612000,QQQ260410C00612000,Sell,Cancelled,0,10,0.150,,DAY,04/10/2026 15:14:04 EDT,
QQQ260410C00612000,QQQ260410C00612000,Sell,Cancelled,0,10,@0.510,,DAY,04/10/2026 15:14:04 EDT,
QQQ260410P00610000,QQQ260410P00610000,Sell,Filled,10,10,0.1800000000,0.1800000000,DAY,04/10/2026 15:12:55 EDT,04/10/2026 15:12:55 EDT
QQQ260410C00612000,QQQ260410C00612000,Buy,Filled,10,10,0.2100000000,0.2100000000,DAY,04/10/2026 15:12:41 EDT,04/10/2026 15:12:41 EDT
QQQ260410P00610000,QQQ260410P00610000,Buy,Filled,10,10,0.2500000000,0.2500000000,DAY,04/10/2026 15:06:22 EDT,04/10/2026 15:06:22 EDT
QQQ260410P00609000,QQQ260410P00609000,Sell,Filled,20,20,0.1100000000,0.1100000000,DAY,04/10/2026 15:05:05 EDT,04/10/2026 15:05:05 EDT
QQQ260410P00609000,QQQ260410P00609000,Buy,Filled,5,5,0.1200000000,0.1200000000,DAY,04/10/2026 15:02:11 EDT,04/10/2026 15:02:11 EDT
QQQ260410P00609000,QQQ260410P00609000,Buy,Filled,5,5,0.2400000000,0.2400000000,DAY,04/10/2026 14:50:52 EDT,04/10/2026 14:50:53 EDT
QQQ260410P00609000,QQQ260410P00609000,Buy,Filled,10,10,0.2800000000,0.2800000000,DAY,04/10/2026 14:42:45 EDT,04/10/2026 14:42:46 EDT
QQQ260410P00608000,QQQ260410P00608000,Sell,Filled,5,5,0.2700000000,0.2700000000,DAY,04/10/2026 12:13:39 EDT,04/10/2026 12:13:39 EDT
QQQ260410P00608000,QQQ260410P00608000,Buy,Filled,5,5,0.4300000000,0.4300000000,DAY,04/10/2026 12:07:58 EDT,04/10/2026 12:07:58 EDT
QQQ260410C00614000,QQQ260410C00614000,Sell,Filled,5,5,0.2780000000,0.2780000000,DAY,04/10/2026 11:52:16 EDT,04/10/2026 11:52:16 EDT
QQQ260410C00614000,QQQ260410C00614000,Buy,Filled,5,5,0.3400000000,0.3400000000,DAY,04/10/2026 11:45:12 EDT,04/10/2026 11:45:12 EDT
QQQ260410P00610000,QQQ260410P00610000,Sell,Filled,1,1,0.6500000000,0.6500000000,DAY,04/10/2026 11:39:54 EDT,04/10/2026 11:39:54 EDT
QQQ260410P00610000,QQQ260410P00610000,Sell,Cancelled,0,1,@0.960,,DAY,04/10/2026 11:39:40 EDT,
QQQ260410P00610000,QQQ260410P00610000,Sell,Cancelled,0,1,0.450,,DAY,04/10/2026 11:39:40 EDT,
QQQ260410P00610000,QQQ260410P00610000,Sell,Filled,1,1,0.6200000000,0.6200000000,DAY,04/10/2026 11:39:34 EDT,04/10/2026 11:39:35 EDT
QQQ260410P00610000,QQQ260410P00610000,Sell,Filled,1,1,0.5600000000,0.5600000000,DAY,04/10/2026 11:38:39 EDT,04/10/2026 11:38:40 EDT
QQQ260410P00610000,QQQ260410P00610000,Sell,Filled,2,2,0.5600000000,0.5600000000,DAY,04/10/2026 11:38:18 EDT,04/10/2026 11:38:18 EDT
QQQ260410P00610000,QQQ260410P00610000,Sell,Filled,5,5,0.5600000000,0.5600000000,DAY,04/10/2026 11:37:54 EDT,04/10/2026 11:37:54 EDT
QQQ260410P00610000,QQQ260410P00610000,Buy,Filled,5,5,0.4600000000,0.4600000000,DAY,04/10/2026 11:33:37 EDT,04/10/2026 11:33:37 EDT
QQQ260410C00615000,QQQ260410C00615000,Sell,Filled,5,5,0.2300000000,0.2300000000,DAY,04/10/2026 11:32:08 EDT,04/10/2026 11:32:08 EDT
QQQ260410P00610000,QQQ260410P00610000,Buy,Filled,5,5,0.4400000000,0.4400000000,DAY,04/10/2026 11:31:46 EDT,04/10/2026 11:31:46 EDT
QQQ260410C00615000,QQQ260410C00615000,Buy,Filled,5,5,0.4900000000,0.4900000000,DAY,04/10/2026 11:24:14 EDT,04/10/2026 11:24:14 EDT
QQQ260409P00607000,QQQ260409P00607000,Sell,Filled,3,3,@0.0400000000,0.0400000000,DAY,04/09/2026 15:34:06 EDT,04/09/2026 15:34:06 EDT
QQQ260409C00612000,QQQ260409C00612000,Sell,Cancelled,0,1,0.030,,DAY,04/09/2026 15:10:20 EDT,
QQQ260409C00612000,QQQ260409C00612000,Sell,Cancelled,0,1,@0.200,,DAY,04/09/2026 15:10:20 EDT,
QQQ260409C00612000,QQQ260409C00612000,Buy,Filled,1,1,0.0600000000,0.0600000000,DAY,04/09/2026 15:10:04 EDT,04/09/2026 15:10:04 EDT
QQQ260409P00607000,QQQ260409P00607000,Sell,Cancelled,0,2,@0.230,,DAY,04/09/2026 15:07:27 EDT,
QQQ260409P00607000,QQQ260409P00607000,Sell,Cancelled,0,2,0.070,,DAY,04/09/2026 15:07:27 EDT,
QQQ260409P00607000,QQQ260409P00607000,Buy,Filled,2,2,0.1200000000,0.1200000000,DAY,04/09/2026 15:06:23 EDT,04/09/2026 15:06:23 EDT
QQQ260409P00607000,QQQ260409P00607000,Sell,Cancelled,0,1,0.280,,DAY,04/09/2026 14:52:18 EDT,
QQQ260409P00607000,QQQ260409P00607000,Sell,Cancelled,0,1,@0.300,,DAY,04/09/2026 14:52:18 EDT,
QQQ260409P00607000,QQQ260409P00607000,Sell,Filled,1,1,0.4100000000,0.4100000000,DAY,04/09/2026 14:51:59 EDT,04/09/2026 14:51:59 EDT
QQQ260409P00607000,QQQ260409P00607000,Sell,Filled,2,2,@0.4000000000,0.4000000000,DAY,04/09/2026 14:47:58 EDT,04/09/2026 14:51:44 EDT
QQQ260409P00607000,QQQ260409P00607000,Sell,Cancelled,0,2,0.170,,DAY,04/09/2026 14:47:58 EDT,
QQQ260409P00607000,QQQ260409P00607000,Sell,Filled,1,1,0.3700000000,0.3700000000,DAY,04/09/2026 14:45:39 EDT,04/09/2026 14:45:39 EDT
QQQ260409P00607000,QQQ260409P00607000,Sell,Filled,1,1,0.3400000000,0.3400000000,DAY,04/09/2026 14:43:41 EDT,04/09/2026 14:43:41 EDT
QQQ260409P00607000,QQQ260409P00607000,Buy,Filled,2,2,0.2900000000,0.2900000000,DAY,04/09/2026 14:40:38 EDT,04/09/2026 14:40:38 EDT
QQQ260409P00607000,QQQ260409P00607000,Buy,Filled,1,1,0.4300000000,0.4300000000,DAY,04/09/2026 14:35:40 EDT,04/09/2026 14:35:40 EDT
QQQ260409P00607000,QQQ260409P00607000,Buy,Filled,1,1,0.5600000000,0.5600000000,DAY,04/09/2026 14:30:58 EDT,04/09/2026 14:30:58 EDT
QQQ260409P00607000,QQQ260409P00607000,Sell,Cancelled,0,2,@0.560,,DAY,04/09/2026 14:27:10 EDT,
QQQ260409P00607000,QQQ260409P00607000,Sell,Cancelled,0,2,0.380,,DAY,04/09/2026 14:27:10 EDT,
QQQ260409P00607000,QQQ260409P00607000,Sell,Filled,1,1,0.6000000000,0.6000000000,DAY,04/09/2026 14:24:22 EDT,04/09/2026 14:24:22 EDT
QQQ260409P00607000,QQQ260409P00607000,Sell,Filled,1,1,0.5600000000,0.5600000000,DAY,04/09/2026 14:23:43 EDT,04/09/2026 14:23:44 EDT
QQQ260409P00607000,QQQ260409P00607000,Sell,Filled,1,1,0.5300000000,0.5300000000,DAY,04/09/2026 14:23:38 EDT,04/09/2026 14:23:38 EDT
QQQ260409P00607000,QQQ260409P00607000,Sell,Cancelled,0,3,@0.800,,DAY,04/09/2026 14:15:21 EDT,
QQQ260409P00607000,QQQ260409P00607000,Sell,Cancelled,0,3,0.100,,DAY,04/09/2026 14:15:21 EDT,
QQQ260409P00607000,QQQ260409P00607000,Sell,Filled,3,3,0.5500000000,0.5500000000,DAY,04/09/2026 14:14:03 EDT,04/09/2026 14:14:03 EDT
QQQ260409P00607000,QQQ260409P00607000,Buy,Filled,3,3,0.4500000000,0.4500000000,DAY,04/09/2026 14:06:30 EDT,04/09/2026 14:06:30 EDT
QQQ260409P00607000,QQQ260409P00607000,Sell,Cancelled,0,5,@0.800,,DAY,04/09/2026 14:04:30 EDT,
QQQ260409P00607000,QQQ260409P00607000,Sell,Cancelled,0,5,0.160,,DAY,04/09/2026 14:04:30 EDT,
QQQ260409P00607000,QQQ260409P00607000,Buy,Filled,5,5,@0.6700000000,0.6700000000,DAY,04/09/2026 14:04:30 EDT,04/09/2026 14:04:30 EDT
QQQ260409P00608000,QQQ260409P00608000,Sell,Filled,3,3,0.6300000000,0.6300000000,DAY,04/09/2026 13:30:45 EDT,04/09/2026 13:30:45 EDT
QQQ260409P00608000,QQQ260409P00608000,Sell,Cancelled,0,3,0.480,,DAY,04/09/2026 13:30:26 EDT,
QQQ260409P00608000,QQQ260409P00608000,Sell,Cancelled,0,3,@0.700,,DAY,04/09/2026 13:30:26 EDT,
QQQ260409P00608000,QQQ260409P00608000,Buy,Filled,3,3,0.5400000000,0.5400000000,DAY,04/09/2026 13:30:10 EDT,04/09/2026 13:30:10 EDT
QQQ260409C00611000,QQQ260409C00611000,Sell,Filled,1,1,0.3400000000,0.3400000000,DAY,04/09/2026 13:27:11 EDT,04/09/2026 13:27:11 EDT
QQQ260409C00611000,QQQ260409C00611000,Sell,Cancelled,0,1,@0.800,,DAY,04/09/2026 13:12:05 EDT,
QQQ260409C00611000,QQQ260409C00611000,Sell,Cancelled,0,1,0.400,,DAY,04/09/2026 13:12:05 EDT,
QQQ260409C00611000,QQQ260409C00611000,Sell,Filled,1,1,0.5200000000,0.5200000000,DAY,04/09/2026 13:12:00 EDT,04/09/2026 13:12:00 EDT
QQQ260409C00611000,QQQ260409C00611000,Sell,Filled,1,1,0.5200000000,0.5200000000,DAY,04/09/2026 13:09:06 EDT,04/09/2026 13:09:06 EDT
QQQ260409C00611000,QQQ260409C00611000,Sell,Filled,1,1,0.4800000000,0.4800000000,DAY,04/09/2026 13:08:58 EDT,04/09/2026 13:08:58 EDT
QQQ260409C00611000,QQQ260409C00611000,Sell,Filled,1,1,0.4700000000,0.4700000000,DAY,04/09/2026 13:08:49 EDT,04/09/2026 13:08:49 EDT
QQQ260409C00611000,QQQ260409C00611000,Sell,Cancelled,0,5,0.250,,DAY,04/09/2026 13:06:18 EDT,
QQQ260409C00611000,QQQ260409C00611000,Sell,Cancelled,0,5,@0.710,,DAY,04/09/2026 13:06:18 EDT,
QQQ260409C00611000,QQQ260409C00611000,Buy,Filled,5,5,0.4400000000,0.4400000000,DAY,04/09/2026 12:52:33 EDT,04/09/2026 12:52:33 EDT
QQQ260409P00606000,QQQ260409P00606000,Sell,Filled,1,1,@0.4200000000,0.4200000000,DAY,04/09/2026 12:42:03 EDT,04/09/2026 12:42:26 EDT
QQQ260409P00606000,QQQ260409P00606000,Sell,Cancelled,0,1,@0.650,,DAY,04/09/2026 12:42:03 EDT,
QQQ260409P00606000,QQQ260409P00606000,Sell,Filled,1,1,0.4800000000,0.4800000000,DAY,04/09/2026 12:41:59 EDT,04/09/2026 12:41:59 EDT
QQQ260409P00606000,QQQ260409P00606000,Sell,Filled,1,1,0.4600000000,0.4600000000,DAY,04/09/2026 12:41:42 EDT,04/09/2026 12:41:42 EDT
QQQ260409P00606000,QQQ260409P00606000,Sell,Filled,1,1,0.4300000000,0.4300000000,DAY,04/09/2026 12:41:29 EDT,04/09/2026 12:41:29 EDT
QQQ260409P00606000,QQQ260409P00606000,Sell,Filled,1,1,0.4600000000,0.4600000000,DAY,04/09/2026 12:39:30 EDT,04/09/2026 12:39:31 EDT
QQQ260409P00606000,QQQ260409P00606000,Buy,Filled,5,5,0.4200000000,0.4200000000,DAY,04/09/2026 12:35:35 EDT,04/09/2026 12:35:35 EDT
QQQ260409C00606000,QQQ260409C00606000,Sell,Filled,1,1,@1.0000000000,1.0000000000,DAY,04/09/2026 10:54:33 EDT,04/09/2026 11:14:27 EDT
QQQ260409C00606000,QQQ260409C00606000,Sell,Cancelled,0,1,0.810,,DAY,04/09/2026 10:54:33 EDT,
QQQ260409C00606000,QQQ260409C00606000,Sell,Filled,1,1,0.7400000000,0.7400000000,DAY,04/09/2026 10:54:26 EDT,04/09/2026 10:54:26 EDT
QQQ260409C00606000,QQQ260409C00606000,Sell,Filled,1,1,0.7200000000,0.7200000000,DAY,04/09/2026 10:54:01 EDT,04/09/2026 10:54:01 EDT
QQQ260409C00606000,QQQ260409C00606000,Sell,Filled,1,1,0.6700000000,0.6700000000,DAY,04/09/2026 10:53:50 EDT,04/09/2026 10:53:50 EDT
QQQ260409C00606000,QQQ260409C00606000,Sell,Filled,1,1,0.6900000000,0.6900000000,DAY,04/09/2026 10:53:35 EDT,04/09/2026 10:53:35 EDT
QQQ260409C00606000,QQQ260409C00606000,Buy,Filled,5,5,0.5600000000,0.5600000000,DAY,04/09/2026 10:45:50 EDT,04/09/2026 10:45:50 EDT
QQQ260409C00606000,QQQ260409C00606000,Sell,Filled,5,5,0.4400000000,0.4400000000,DAY,04/09/2026 10:42:40 EDT,04/09/2026 10:42:40 EDT
QQQ260409C00606000,QQQ260409C00606000,Buy,Filled,5,5,0.4800000000,0.4800000000,DAY,04/09/2026 10:40:18 EDT,04/09/2026 10:40:18 EDT
SPY260409P00672000,SPY260409P00672000,Sell,Filled,5,5,0.5300000000,0.5300000000,DAY,04/09/2026 10:26:03 EDT,04/09/2026 10:26:03 EDT
SPY260409P00672000,SPY260409P00672000,Buy,Filled,5,5,0.5700000000,0.5700000000,DAY,04/09/2026 10:19:45 EDT,04/09/2026 10:19:45 EDT
QQQ260408P00603000,QQQ260408P00603000,Sell,Filled,1,1,0.8500000000,0.8500000000,DAY,04/08/2026 14:58:32 EDT,04/08/2026 14:58:32 EDT
QQQ260408P00603000,QQQ260408P00603000,Sell,Filled,1,1,0.6700000000,0.6700000000,DAY,04/08/2026 14:55:51 EDT,04/08/2026 14:55:51 EDT
QQQ260408P00603000,QQQ260408P00603000,Sell,Cancelled,0,1,@1.25,,DAY,04/08/2026 14:53:36 EDT,
QQQ260408P00603000,QQQ260408P00603000,Sell,Cancelled,0,1,0.700,,DAY,04/08/2026 14:53:36 EDT,
QQQ260408P00603000,QQQ260408P00603000,Sell,Cancelled,0,2,0.390,,DAY,04/08/2026 14:53:03 EDT,
QQQ260408P00603000,QQQ260408P00603000,Sell,Cancelled,0,2,@1.05,,DAY,04/08/2026 14:53:03 EDT,
QQQ260408P00603000,QQQ260408P00603000,Sell,Cancelled,0,2,0.250,,DAY,04/08/2026 14:50:45 EDT,
QQQ260408P00603000,QQQ260408P00603000,Sell,Cancelled,0,2,@0.850,,DAY,04/08/2026 14:50:45 EDT,
QQQ260408P00603000,QQQ260408P00603000,Sell,Filled,1,1,0.5300000000,0.5300000000,DAY,04/08/2026 14:50:35 EDT,04/08/2026 14:50:35 EDT
QQQ260408P00603000,QQQ260408P00603000,Sell,Filled,1,1,0.5400000000,0.5400000000,DAY,04/08/2026 14:50:03 EDT,04/08/2026 14:50:03 EDT
QQQ260408P00603000,QQQ260408P00603000,Sell,Filled,1,1,0.5200000000,0.5200000000,DAY,04/08/2026 14:45:39 EDT,04/08/2026 14:45:39 EDT
QQQ260408P00603000,QQQ260408P00603000,Sell,Filled,1,1,0.4100000000,0.4100000000,DAY,04/08/2026 14:40:36 EDT,04/08/2026 14:40:36 EDT
QQQ260408P00603000,QQQ260408P00603000,Sell,Filled,2,2,0.3700000000,0.3700000000,DAY,04/08/2026 14:40:18 EDT,04/08/2026 14:40:18 EDT
QQQ260408P00603000,QQQ260408P00603000,Sell,Cancelled,0,3,0.030,,DAY,04/08/2026 14:23:56 EDT,
QQQ260408P00603000,QQQ260408P00603000,Sell,Cancelled,0,3,@0.730,,DAY,04/08/2026 14:23:56 EDT,
QQQ260408P00603000,QQQ260408P00603000,Buy,Filled,3,3,0.3000000000,0.3000000000,DAY,04/08/2026 14:22:29 EDT,04/08/2026 14:22:29 EDT
QQQ260408P00603000,QQQ260408P00603000,Buy,Filled,5,5,0.5400000000,0.5400000000,DAY,04/08/2026 14:19:40 EDT,04/08/2026 14:19:40 EDT
QQQ260408P00605000,QQQ260408P00605000,Sell,Cancelled,0,1,@1.10,,DAY,04/08/2026 13:38:34 EDT,
QQQ260408P00605000,QQQ260408P00605000,Sell,Filled,1,1,@0.5400000000,0.5400000000,DAY,04/08/2026 13:38:34 EDT,04/08/2026 13:43:25 EDT
QQQ260408P00605000,QQQ260408P00605000,Sell,Filled,1,1,0.6500000000,0.6500000000,DAY,04/08/2026 13:38:28 EDT,04/08/2026 13:38:28 EDT
QQQ260408P00605000,QQQ260408P00605000,Sell,Filled,1,1,0.7600000000,0.7600000000,DAY,04/08/2026 13:37:53 EDT,04/08/2026 13:37:53 EDT
QQQ260408P00605000,QQQ260408P00605000,Sell,Filled,1,1,0.6500000000,0.6500000000,DAY,04/08/2026 13:34:32 EDT,04/08/2026 13:34:32 EDT
QQQ260408P00605000,QQQ260408P00605000,Sell,Filled,1,1,0.6800000000,0.6800000000,DAY,04/08/2026 13:34:12 EDT,04/08/2026 13:34:12 EDT
QQQ260408P00605000,QQQ260408P00605000,Buy,Filled,5,5,0.6100000000,0.6100000000,DAY,04/08/2026 13:33:02 EDT,04/08/2026 13:33:03 EDT
QQQ260408P00600000,QQQ260408P00600000,Sell,Cancelled,0,1,@1.50,,DAY,04/08/2026 10:56:12 EDT,
QQQ260408P00600000,QQQ260408P00600000,Sell,Filled,1,1,@0.4800000000,0.4800000000,DAY,04/08/2026 10:56:12 EDT,04/08/2026 11:01:08 EDT
QQQ260408P00600000,QQQ260408P00600000,Sell,Filled,1,1,0.7400000000,0.7400000000,DAY,04/08/2026 10:55:59 EDT,04/08/2026 10:55:59 EDT
QQQ260408P00600000,QQQ260408P00600000,Sell,Filled,1,1,0.6600000000,0.6600000000,DAY,04/08/2026 10:55:22 EDT,04/08/2026 10:55:22 EDT
QQQ260408P00600000,QQQ260408P00600000,Sell,Filled,1,1,0.5900000000,0.5900000000,DAY,04/08/2026 10:53:16 EDT,04/08/2026 10:53:16 EDT
QQQ260408P00600000,QQQ260408P00600000,Sell,Cancelled,0,2,0.210,,DAY,04/08/2026 10:41:19 EDT,
QQQ260408P00600000,QQQ260408P00600000,Sell,Cancelled,0,2,@0.910,,DAY,04/08/2026 10:41:19 EDT,
QQQ260408P00600000,QQQ260408P00600000,Buy,Filled,4,4,@0.5200000000,0.5200000000,DAY,04/08/2026 10:39:17 EDT,04/08/2026 10:39:18 EDT
QQQ260408P00600000,QQQ260408P00600000,Sell,Cancelled,0,4,0.100,,DAY,04/08/2026 10:39:17 EDT,
QQQ260408P00600000,QQQ260408P00600000,Sell,Cancelled,0,4,@1.14,,DAY,04/08/2026 10:39:17 EDT,
QQQ260408P00600000,QQQ260408P00600000,Sell,Filled,4,4,0.3900000000,0.3900000000,DAY,04/08/2026 10:22:35 EDT,04/08/2026 10:22:35 EDT
QQQ260408P00600000,QQQ260408P00600000,Sell,Cancelled,0,2,@0.660,,DAY,04/08/2026 10:12:01 EDT,
QQQ260408P00600000,QQQ260408P00600000,Sell,Cancelled,0,2,0.290,,DAY,04/08/2026 10:12:01 EDT,
QQQ260408P00600000,QQQ260408P00600000,Buy,Filled,4,4,0.4700000000,0.4700000000,DAY,04/08/2026 10:09:40 EDT,04/08/2026 10:09:40 EDT
